chart,layout,mode,seed,learning_rate,batch_size,microbatch_count,mb_size,world_size,nodes,tasks_per_node,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
1,2x4_ws8,serial,42,0.12,256,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,1,0.673471,0.783974,0.196831,0.9421,38886
1,2x4_ws8,serial,42,0.12,256,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,2,0.1745,0.948037,0.144865,0.9559,38901
1,2x4_ws8,mpi-mp,42,0.12,256,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,1,0.673471,0.783974,0.197038,0.942007,78523
1,2x4_ws8,mpi-mp,42,0.12,256,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,2,0.1745,0.948037,0.145032,0.955829,78578
1,2x4_ws8,mpi-mp-pip,42,0.12,256,32,8,8,2,4,50000,10000,512-512-256-256-128-64-32,1,0.674374,0.782392,0.203016,0.939904,139835
1,2x4_ws8,mpi-mp-pip,42,0.12,256,32,8,8,2,4,50000,10000,512-512-256-256-128-64-32,2,0.179938,0.946334,0.140361,0.95653,139805
1,2x4_ws8,serial,42,0.24,512,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,1,1.37063,0.519592,0.381232,0.8867,38321
1,2x4_ws8,serial,42,0.24,512,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,2,0.319626,0.903189,0.172693,0.9481,38349
1,2x4_ws8,mpi-mp,42,0.24,512,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,1,1.37063,0.519592,0.380158,0.88641,76246
1,2x4_ws8,mpi-mp,42,0.24,512,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,2,0.319626,0.903189,0.173008,0.948191,76150
1,2x4_ws8,mpi-mp-pip,42,0.24,512,32,16,8,2,4,50000,10000,512-512-256-256-128-64-32,1,1.50823,0.469092,0.883041,0.681538,103668
1,2x4_ws8,mpi-mp-pip,42,0.24,512,32,16,8,2,4,50000,10000,512-512-256-256-128-64-32,2,0.335086,0.896182,0.186209,0.945312,103763
1,2x4_ws8,serial,42,0.48,1024,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,1,2.24893,0.187724,2.28892,0.1059,37584
1,2x4_ws8,serial,42,0.48,1024,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,2,1.76464,0.353963,1.29254,0.554,37486
1,2x4_ws8,mpi-mp,42,0.48,1024,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,1,2.24893,0.187724,2.2895,0.104709,74416
1,2x4_ws8,mpi-mp,42,0.48,1024,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,2,1.76464,0.353963,1.29153,0.556641,74248
1,2x4_ws8,mpi-mp-pip,42,0.48,1024,32,32,8,2,4,50000,10000,512-512-256-256-128-64-32,1,2.26854,0.186849,2.0768,0.224718,84591
1,2x4_ws8,mpi-mp-pip,42,0.48,1024,32,32,8,2,4,50000,10000,512-512-256-256-128-64-32,2,1.94191,0.306051,1.99171,0.287543,84408
1,2x4_ws8,serial,42,0.96,2048,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,1,3.3444,0.155151,16.6273,0.0974,37451
1,2x4_ws8,serial,42,0.96,2048,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,2,nan,0.0991821,nan,0.098,36841
1,2x4_ws8,mpi-mp,42,0.96,2048,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,1,3.3444,0.155151,16.6148,0.0980225,73718
1,2x4_ws8,mpi-mp,42,0.96,2048,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,2,nan,0.0991821,nan,0.0983887,72833
1,2x4_ws8,mpi-mp-pip,42,0.96,2048,32,64,8,2,4,50000,10000,512-512-256-256-128-64-32,1,2.5259,0.141174,2.31143,0.106567,75803
1,2x4_ws8,mpi-mp-pip,42,0.96,2048,32,64,8,2,4,50000,10000,512-512-256-256-128-64-32,2,2.28868,0.124837,2.2612,0.0958252,75457
1,2x4_ws8,serial,42,1.92,4096,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.098,37230
1,2x4_ws8,serial,42,1.92,4096,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.098,37008
1,2x4_ws8,mpi-mp,42,1.92,4096,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,73091
1,2x4_ws8,mpi-mp,42,1.92,4096,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,72511
1,2x4_ws8,mpi-mp-pip,42,1.92,4096,64,64,8,2,4,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,81373
1,2x4_ws8,mpi-mp-pip,42,1.92,4096,64,64,8,2,4,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,80898
