chart,layout,mode,seed,learning_rate,batch_size,microbatch_count,mb_size,world_size,nodes,tasks_per_node,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
2,2x4_ws8,serial,42,1.92,4096,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.098,37239
2,2x4_ws8,serial,42,1.92,4096,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.098,36984
2,2x4_ws8,mpi-mp,42,1.92,4096,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,73206
2,2x4_ws8,mpi-mp,42,1.92,4096,0,0,8,2,4,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,72722
2,2x4_ws8,mpi-mp-pip,42,1.92,4096,8,512,8,2,4,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,39253
2,2x4_ws8,mpi-mp-pip,42,1.92,4096,8,512,8,2,4,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,38904
2,2x4_ws8,mpi-mp-pip,42,1.92,4096,32,128,8,2,4,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,71728
2,2x4_ws8,mpi-mp-pip,42,1.92,4096,32,128,8,2,4,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,71391
2,2x4_ws8,mpi-mp-pip,42,1.92,4096,64,64,8,2,4,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,81318
2,2x4_ws8,mpi-mp-pip,42,1.92,4096,64,64,8,2,4,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,80874
