mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi,42,0.03,1024,50000,10000,256-128-64,1,1.86302,0.452596,1.28544,0.7084,1571
mpi,42,0.03,1024,50000,10000,256-128-64,2,0.919847,0.790487,0.635171,0.847,1557
mpi,42,0.03,1024,50000,10000,256-128-64,3,0.567138,0.854329,0.46746,0.8753,1555
mpi,42,0.03,1024,50000,10000,256-128-64,4,0.453526,0.876709,0.396356,0.893,1554
mpi,42,0.03,1024,50000,10000,256-128-64,5,0.396432,0.88975,0.355487,0.9015,1554
mpi,42,0.03,1024,50000,10000,256-128-64,6,0.360348,0.898783,0.330863,0.9082,1554
mpi,42,0.03,1024,50000,10000,256-128-64,7,0.335622,0.905619,0.310502,0.9126,1556
mpi,42,0.03,1024,50000,10000,256-128-64,8,0.316511,0.910278,0.29434,0.9164,1554
mpi,42,0.03,1024,50000,10000,256-128-64,9,0.300696,0.91449,0.281527,0.9203,1554
mpi,42,0.03,1024,50000,10000,256-128-64,10,0.286848,0.918518,0.272023,0.9226,1555
