mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi,42,0.03,1024,50000,10000,256-128,1,1.83087,0.502034,1.28878,0.753105,697
mpi,42,0.03,1024,50000,10000,256-128,2,0.980642,0.797852,0.726997,0.835136,683
mpi,42,0.03,1024,50000,10000,256-128,3,0.644227,0.84727,0.541955,0.866186,686
mpi,42,0.03,1024,50000,10000,256-128,4,0.517546,0.868876,0.457797,0.882612,680
mpi,42,0.03,1024,50000,10000,256-128,5,0.451898,0.881917,0.409494,0.892728,686
mpi,42,0.03,1024,50000,10000,256-128,6,0.411657,0.890564,0.378256,0.900441,683
mpi,42,0.03,1024,50000,10000,256-128,7,0.38387,0.897074,0.355711,0.904848,684
mpi,42,0.03,1024,50000,10000,256-128,8,0.361727,0.901265,0.338441,0.908454,682
mpi,42,0.03,1024,50000,10000,256-128,9,0.344988,0.904907,0.325353,0.910958,685
mpi,42,0.03,1024,50000,10000,256-128,10,0.331496,0.908549,0.313333,0.913061,696
