mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,1,1.83087,0.502034,1.28878,0.753105,900
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,2,0.980643,0.797852,0.726998,0.835036,890
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,3,0.644228,0.84729,0.541957,0.866086,882
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,4,0.517548,0.868876,0.457795,0.882612,894
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,5,0.451898,0.881917,0.409489,0.892829,890
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,6,0.411657,0.890523,0.378252,0.900441,886
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,7,0.383869,0.897074,0.355707,0.904748,893
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,8,0.361725,0.901286,0.338439,0.908454,900
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,9,0.344988,0.904907,0.325351,0.910958,889
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128,10,0.331494,0.908508,0.313334,0.913061,897
