mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,1,1.86302,0.452596,1.28558,0.708333,819
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,2,0.91984,0.790487,0.635343,0.846755,820
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,3,0.567131,0.854329,0.467684,0.8752,818
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,4,0.453532,0.876689,0.396586,0.892929,821
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,5,0.396444,0.88973,0.355724,0.901442,814
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,6,0.360363,0.898763,0.331099,0.907953,813
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,7,0.335635,0.905619,0.310725,0.91256,811
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,8,0.316521,0.910319,0.294575,0.916366,812
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,9,0.30071,0.91449,0.281754,0.919972,813
mpi_dp_hierarchial,42,0.03,1024,50000,10000,256-128-64,10,0.28686,0.918579,0.272249,0.922476,816
