mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,1,1.87774,0.438639,1.3045,0.702123,718
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,2,0.964861,0.762024,0.650515,0.843349,714
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,3,0.612858,0.830933,0.47676,0.873498,716
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,4,0.498662,0.856893,0.402664,0.891927,716
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,5,0.436871,0.873108,0.360743,0.899339,719
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,6,0.396155,0.884725,0.333278,0.90655,721
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,7,0.369176,0.892029,0.312371,0.910156,721
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,8,0.348553,0.897278,0.296585,0.916466,718
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,9,0.330302,0.903707,0.282985,0.919471,717
mpi-dp-local-sgd,42,0.03,1024,50000,10000,256-128-64,10,0.315841,0.907756,0.272778,0.921675,717
