mode,seed,learning_rate,batch_size,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
serial,42,0.03,1024,50000,10000,256-128-64,1,1.86302,0.452596,1.28544,0.7084,9790
serial,42,0.03,1024,50000,10000,256-128-64,2,0.91984,0.790487,0.635165,0.8469,9720
serial,42,0.03,1024,50000,10000,256-128-64,3,0.567131,0.854329,0.467467,0.8753,9712
serial,42,0.03,1024,50000,10000,256-128-64,4,0.453531,0.876709,0.396375,0.893,9693
serial,42,0.03,1024,50000,10000,256-128-64,5,0.396443,0.88973,0.355504,0.9016,9687
serial,42,0.03,1024,50000,10000,256-128-64,6,0.360365,0.898783,0.33087,0.908,9705
serial,42,0.03,1024,50000,10000,256-128-64,7,0.335634,0.905599,0.310517,0.9127,9684
serial,42,0.03,1024,50000,10000,256-128-64,8,0.31652,0.910258,0.294355,0.9164,9689
serial,42,0.03,1024,50000,10000,256-128-64,9,0.300708,0.91449,0.281531,0.9203,9691
serial,42,0.03,1024,50000,10000,256-128-64,10,0.286857,0.918579,0.272026,0.9226,9683
